day_number,date,time,place_name,category,sub_category,description,cost_amount,cost_currency,rating,notes,highlight
1,2026-03-28,12:00,Ngurah Rai International Airport,transport,taxi,Touched down in Bali and hopped on a Grab taxi for the scenic 1.5-hour drive through lush rice fields and jungle roads to our villa in Ubud.,270000,IDR,0,,false
1,2026-03-28,14:00,Private Pool Villa Ubud,accommodation,villa,Checked into a gorgeous private pool villa in the heart of Ubud — surrounded by tropical gardens with the sound of frogs and distant temple bells.,0,IDR,5,Accommodation in fixed costs,false
1,2026-03-28,17:00,Ubud Streets & Scooter Rental,transport,scooter,Rented scooters and rode through Ubud's winding lanes — the best way to navigate the town and discover hidden temples around every corner.,315000,IDR,4,,false
1,2026-03-28,18:00,Ubud Art Market,shopping,souvenirs,Wandered through the famous Pasar Seni market as dusk settled — rows of batik sarongs, handcrafted jewellery, wooden masks, and painted parasols.,100000,IDR,4,,true
1,2026-03-28,19:00,Ubud Royal Palace,sightseeing,temple,Strolled around the ornate Puri Saren Agung Palace — the spiritual and cultural heart of Ubud, beautifully lit by evening lanterns.,0,IDR,4,,false
1,2026-03-28,20:30,This Is Bali Restaurant,food,meals,First dinner in Bali at This Is Bali — authentic Balinese cuisine in a lush garden courtyard. The perfect welcome to the island.,336000,IDR,4,,true
2,2026-03-29,08:00,Bali ATV Adventure,activities,atv,Thrilling ATV ride through jungle trails, rice terraces, and river valleys — an adrenaline-packed morning exploring terrain that scooters can't reach.,500000,IDR,5,,true
2,2026-03-29,10:00,Ayung River Rafting,activities,rafting,White-water rafting through the Ayung River gorge — 2.5km of rapids past ancient stone carvings and lush canyon walls. Lunch included at the end.,700000,IDR,5,Lunch included,true
2,2026-03-29,13:00,Private Pool Villa Ubud,accommodation,villa,Afternoon recovery in the villa — a long swim in the private pool and a proper rest before the evening plans.,0,IDR,5,,false
2,2026-03-29,19:00,Taman Dedari,food,meals,Spectacular fine dining at Taman Dedari — a theatrical dinner among lily ponds and Balinese sculptures with traditional dance performances in the background.,400000,IDR,5,,true
3,2026-03-30,10:00,Pura Ulun Danu Beratan Temple,activities,temple,A serene lake temple floating on morning mist over Lake Beratan — one of Bali's most photogenic and spiritually significant temples.,150000,IDR,5,,true
3,2026-03-30,11:30,Sekumpul Waterfall,activities,sightseeing,The most beautiful waterfall in Bali — a 45-minute jungle trek leads to a stunning curtain of water plunging 80m into a moss-covered gorge.,300000,IDR,5,Covers multiple waterfalls,true
3,2026-03-30,13:00,Hidden Waterfall & Fiji Waterfall,activities,sightseeing,Continued the waterfall trail to the lesser-visited Hidden and Fiji falls — pristine natural pools and towering jungle canopy.,0,IDR,4,Covered under Sekumpul entry,false
3,2026-03-30,15:30,Hanging Cafe Sekumpul,food,meals,Lunch at the incredible cliff-edge Hanging Cafe overlooking the valley — Balinese set menu and the best view you can possibly eat lunch with.,200000,IDR,5,,false
3,2026-03-30,17:00,Private Pool Villa Ubud,wellness,spa,Relaxed evening in the private pool villa after a big day of waterfalls — villa pool and homemade dinner from supermarket groceries.,0,IDR,5,,false
4,2026-03-31,02:00,Mount Batur,activities,trekking,A 2am start for the legendary Mt Batur sunrise hike. Scrambled up the volcanic trail by torchlight and reached the crater rim just as the sky turned gold.,800000,IDR,5,Guide included,true
4,2026-03-31,09:00,Private Pool Villa Ubud,accommodation,villa,Returned from the summit and crashed for a well-earned sleep — tired legs but a heart full of one of Bali's greatest experiences.,0,IDR,5,,false
4,2026-03-31,16:00,Sari Timbul Cafe,activities,sightseeing,A unique Balinese attraction with floating bamboo platforms over a spring pool — traditional food served in a serene garden landscape.,440000,IDR,4,Includes entrance and food,false
4,2026-03-31,19:00,Ubud Night Market,shopping,souvenirs,Final evening in Ubud exploring the market and surrounding streets — stocked up on snacks and browsed local crafts before tomorrow's ferry.,0,IDR,4,,false
5,2026-04-01,08:00,Sanur Harbour - Ferry to Nusa Penida,transport,ferry,Caught the fast boat from Sanur to Nusa Penida with premium seats on the upper deck — 45 minutes across the Bali Strait.,370000,IDR,4,,false
5,2026-04-01,13:00,La Coco Restaurant,food,meals,Settled into Nusa Penida and headed straight to La Coco for a fresh coconut and grilled fish lunch with views of the jungle-lined coast.,185000,IDR,4,,false
5,2026-04-01,14:00,Diamond Beach,activities,beach,One of the most dramatic beaches in Southeast Asia — pristine white sand at the base of a towering cliff, reached via steep wooden stairs. Absolutely jaw-dropping.,100000,IDR,5,,true
5,2026-04-01,15:30,Atuh Beach,activities,beach,A hidden crescent of white sand flanked by dramatic limestone pillars rising from the turquoise sea. Almost too perfect to be real.,0,IDR,5,Covered under Diamond Beach entry,true
5,2026-04-01,17:00,Thousand Island Viewpoint,activities,sightseeing,Golden hour at the famous Thousand Island viewpoint — tiny islets scattered across the glittering sea below, with Roman Pohan temple ruins on the clifftop.,60000,IDR,5,,true
5,2026-04-01,19:30,Dinner at Sea Facing Restaurant,food,meals,Dinner at an open-air restaurant overlooking the ocean — grilled prawns and fresh fish as waves crashed on the rocks below.,335000,IDR,5,,false
6,2026-04-02,08:00,Kelingking Beach (T-Rex Cliff),activities,beach,The unmistakable T-Rex shaped cliff of Nusa Penida — arguably the most photographed spot in all of Indonesia and every bit as stunning in person.,0,IDR,5,,true
6,2026-04-02,11:00,Broken Beach,activities,sightseeing,A collapsed sea cave forming a dramatic natural circular cove — vivid aquamarine water swirling inside the ancient rock arch. Mesmerising.,0,IDR,5,,true
6,2026-04-02,12:00,Angel Billabong,activities,sightseeing,The famous natural infinity pool carved into the coastal rock — turquoise water meeting the open ocean. Visited at low tide for the best experience.,0,IDR,5,,false
6,2026-04-02,14:00,Crystal Bay,activities,beach,An afternoon dip at Crystal Bay — one of Nusa Penida's clearest beaches with calm water perfect for snorkelling. Spotted a sea turtle.,0,IDR,5,,false
6,2026-04-02,19:00,Mambo Beach Resort,food,meals,Dinner on the terrace at Mambo Beach Resort — watching the last light fade over the bay as the perfect finale to an incredible West Nusa Penida day.,417000,IDR,5,,true
7,2026-04-03,08:00,Nusa Penida Harbour,transport,ferry,Caught the morning fast boat back to Bali with premium seats — waved goodbye to Nusa Penida through the sea spray as the island disappeared behind us.,370000,IDR,4,,false
7,2026-04-03,10:00,Seminyak Flat,accommodation,villa,Checked into the Seminyak apartment for the final stretch of the trip — well-located for the beach strip and the south's big-ticket sights.,0,IDR,4,Accommodation in fixed costs,false
7,2026-04-03,12:00,McDonalds Bali,food,meals,A decidedly un-authentic but wholly satisfying McDonalds lunch — sometimes you just need a burger after a week of temples and volcanos.,227000,IDR,3,,false
7,2026-04-03,18:00,Seminyak Beach,activities,beach,Late afternoon stroll along the famous Seminyak beach stretch — watching surfers carve through the breaks and local vendors hawk cold drinks.,0,IDR,4,,false
7,2026-04-03,14:00,Seminyak Village,activities,shopping,Explore Seminyak Village — a stylish open-air mall with boutique stores, cafes, and a relaxed Bali vibe.,0,IDR,4,,false
7,2026-04-03,16:00,Jalan Raya Seminyak,activities,shopping,Walk along Jalan Raya Seminyak — lined with trendy boutiques, local designer stores, and vibrant street shopping spots.,0,IDR,4,,false
7,2026-04-03,19:00,Canggu Beach,activities,beach,Continued north to Canggu's Echo Beach at golden hour — a more local crowd, great waves, and the laid-back Canggu energy.,0,IDR,4,,false
8,2026-04-04,09:00,Melasti Beach,activities,beach,Drove south to the stunning Melasti — one of Bali's most pristine white sand beaches tucked below towering limestone cliffs.,33000,IDR,5,,false
8,2026-04-04,11:30,Padawan Beach & Tanah Barak,activities,beach,The famous surf beach from Eat Pray Love — entered through a cave passage carved into the cliff to reach the photogenic cove below.,52000,IDR,4,,false
8,2026-04-04,13:00,Single Fin Bali,food,meals,Lunch at the legendary Single Fin — a cliff-top restaurant and bar directly above the Uluwatu surf break. Perfect food and an unbeatable view.,500000,IDR,5,,true
8,2026-04-04,17:00,Uluwatu Temple,activities,temple,Pura Luhur Uluwatu perched on a 70-metre sea cliff — one of Bali's six key temples, with sweeping Indian Ocean views and resident monkeys.,60000,IDR,5,,true
8,2026-04-04,18:00,Kecak Fire Dance,activities,entertainment,The hypnotic sunset Kecak dance at Uluwatu — 150 men chanting in unison around a fire as the sky blazed behind the cliff temple. Spine-tingling.,300000,IDR,5,,true
8,2026-04-04,20:00,KFC & Bali Galleria,food,meals,Ended the big day with a quick KFC dinner before heading into Bali Galleria for a satisfying Uniqlo shopping haul.,114000,IDR,3,,false
9,2026-04-05,12:00,Beach Walk Mall,shopping,clothing,A late start with a visit to the upscale Beach Walk mall on the Kuta beachfront — air-conditioned browsing and souvenir hunting.,0,IDR,3,,false
9,2026-04-05,13:00,Lunch at the Mall,food,meals,Chicken teriyaki lunch at a restaurant in the mall — a satisfying and wallet-friendly option before the afternoon treat.,52000,IDR,3,,false
9,2026-04-05,15:00,Fajar Bali Spa,wellness,massage,A 90-minute traditional Balinese aroma massage at Fajar Bali Spa — the most restorative experience of the trip. Not optional. Highly recommended.,560000,IDR,5,,true
9,2026-04-05,17:00,Level 21 Mall & Miniso,shopping,souvenirs,Final round of souvenir shopping at Level 21 — gifts for home and a Miniso haul to round out the trip.,122000,IDR,3,,false
9,2026-04-05,20:00,Naughty Nuri's,food,meals,A Bali institution and the perfect final dinner — legendary wood-fired ribs with Naughty Nuri's famous sauce and cold Bintangs. Non-negotiable.,628000,IDR,5,,true
9,2026-04-05,22:00,BaliJo Night Club,nightlife,entertainment,Ended the last full night in Bali the right way — live music and Bintangs at BaliJo until the early hours.,55000,IDR,4,,false
10,2026-04-06,09:00,Final Morning Coffee,food,coffee,One last Bali morning — coffee and a snack from a local warung while watching the street wake up outside the Seminyak flat.,15000,IDR,4,,false
10,2026-04-06,10:00,Ngurah Rai Airport,transport,taxi,Grabbed a Grab taxi to the airport for the last time. Said goodbye to Bali through the window on the way out.,125000,IDR,0,,false
10,2026-04-06,13:00,Singapore Changi Airport,food,meals,Transit lunch at Singapore Changi — a 7-Eleven stop between flights. Bali in the rear-view and a full camera roll of memories.,216000,IDR,3,Converted from ₹1200 INR,false
